time,pr,pet
765158400000,19.699344635009766,196.75
767750400000,17.38201779127121,240.44375000000002
770428800000,0.0,261.84375
773020800000,0.0,262.53125
775699200000,0.0,243.253125
778377600000,12.027163803577423,198.84375
780969600000,13.954228192567825,152.41666666666666
783648000000,23.96011233329773,97.03125
786240000000,13.53588879108429,53.475
788918400000,147.47987413406372,
791596800000,12.765310525894165,94.15
794016000000,184.3401198387146,164.009375
796694400000,18.823161721229553,187.25
799286400000,12.0609530210495,223.20000000000002
801964800000,0.0,248.90625
804556800000,0.0,263.596875
807235200000,0.0,237.34375
809913600000,0.0,188.15625
812505600000,5.574142411351204,161.84583333333336
815184000000,8.908735513687134,90.75
817776000000,40.36251509189606,61.128125000000004
820454400000,45.420854687690735,66.39166666666668
823132800000,81.23356676101685,107.390625
